"X","개설년도","운영중인.점포.계...빈점포.","매장면적...","종사자.수.명.","주차.면수","용도지역_일반상업","용도지역_일반전용주거","용도지역_전용주거","용도지역_준전용주거","k_means_2","k_means_3","k_medoids_3","k_medoids_4","k_medoids_5","유동인구","시장명"
2,1948,482,9497,871,29,1,0,0,0,0,2,2,0,0,2558.333333,"국제시장"
12,1910,399,30397,613,82,1,0,0,0,0,1,2,0,4,7068.083333,"부평깡통시장"
14,1970,81,7813,200,0,1,0,0,0,0,2,2,0,4,3633,"부산자갈밭시장"
15,1954,213,71316,215,0,1,0,0,0,0,1,2,0,4,4424,"신창상가"
18,1974,1045,29239,1198,120,1,0,0,0,0,2,2,0,0,2617.75,"부산진시장"
19,1969,1436,30703,1400,304,1,0,0,0,0,2,2,0,0,2718.916667,"자유시장"
20,1974,178,3729,213,0,1,0,0,0,0,2,2,0,0,2617.75,"부산남문시장"
43,1950,703,16598,882,0,1,0,0,0,0,1,2,0,4,5870.5,"부전상가"
44,1980,324,8014,486,13,1,0,0,0,0,1,2,0,4,4392.25,"골드테마거리"
46,1975,115,7109,405,0,1,0,0,0,0,1,2,0,4,4149,"개금골목시장"
51,2013,96,6291,96,0,0,0,0,1,0,2,2,0,0,3244.5,"양정전통시장"
