"X","개설년도","운영중인.점포.계...빈점포.","매장면적...","종사자.수.명.","주차.면수","용도지역_일반상업","용도지역_일반전용주거","용도지역_전용주거","용도지역_준전용주거","k_means_2","k_means_3","k_medoids_3","k_medoids_4","k_medoids_5","유동인구","시장명"
0,1970,272,3576,1500,161,1,0,0,0,1,0,0,3,5,435.1666667,"자갈치시장"
4,1978,117,4725,138,10,1,0,0,0,1,0,0,3,5,231.4166667,"보수종합시장"
5,1980,147,11527,200,120,1,0,0,0,1,0,0,3,5,416.1666667,"신천지시장"
16,1988,60,3732,60,0,1,0,0,0,1,0,0,3,5,448.5833333,"보수동책방골목"
25,1960,100,2650,120,0,0,1,0,0,1,0,0,3,5,314.6666667,"성북시장"
33,1978,43,1291,75,0,0,0,0,1,1,0,0,3,5,217.9166667,"성곡종합시장"
34,1980,58,696,58,0,0,0,0,1,1,0,0,3,5,335.1666667,"초읍시장"
35,1980,226,15605,765,154,1,0,0,0,1,0,0,3,5,324.1666667,"서면종합시장"
36,1981,15,535,15,0,0,0,0,1,1,0,0,3,5,127.1666667,"새당감시장"
38,1981,115,6156,150,120,0,0,0,1,1,0,0,3,5,460.0833333,"부산전자종합시장"
39,1990,46,3417,78,30,0,1,0,0,1,0,0,3,5,381.194444433333,"가야벽산상가"
47,1972,65,3041,75,0,0,1,0,0,1,0,0,3,5,359.8333333,"전포놀이터시장"
