회사명,X1,X2,X3,X4,X5,X6,X7,X8,X9
삼성전자,0.0886224591768555,0.105915128073925,0.102539522866166,0.124411056227089,0.1276747008787,0.140407602710939,0.097784664519803,0.1031261679678,0.109518697578724
LG에너지솔루션,0.0857541258288514,0.118332753068487,0.0830198404787725,0.147838702025197,0.090293415557566,0.177782134811604,0.0904115836644366,0.10583129196282,0.100736152602266
SK하이닉스,0.0888815255551833,0.0942271475924585,0.0821638170087077,0.157725528381521,0.103670202483506,0.175525443754359,0.0939065474681936,0.107600856148491,0.0962989316075793
삼성바이오로직스,0.0845115850731048,0.090205535768848,0.0930363204464002,0.156854605252737,0.100988493287655,0.179289576475732,0.0969654764999182,0.102604929461924,0.0955434777336811
삼성SDI,0.0853558332607747,0.104696169759988,0.0828123577602488,0.153385643354786,0.109681592303918,0.16575565695259,0.093219475818853,0.104448034572311,0.100645236216531
LG화학,0.081057123945551,0.148650959364963,0.087396695168997,0.147453970628988,0.0876690198390121,0.140167682622144,0.0871696989861237,0.110316210186011,0.11011863925821
현대자동차,0.0863056371473008,0.116278251650284,0.100052418512175,0.151665250874763,0.110966608506046,0.101478853861989,0.109947514930643,0.103038625109437,0.120266839407363
기아,0.0862957435438059,0.0976166664225619,0.0955728871489151,0.170782650291027,0.0978241221974472,0.128172142713956,0.117074564841082,0.0974192269239739,0.109241995917231
NAVER,0.166884044840449,0.0938908361259618,0.105558441053679,0.086697157351549,0.0894035846290466,0.119209672133848,0.132957163249792,0.100590923100909,0.104808177514766
셀트리온,0.083385978831086,0.0940701372589637,0.0883626555738029,0.198403211721891,0.0848461255132702,0.159365383171401,0.0941781541195062,0.095923123191442,0.101465230618637
카카오,0.224548181217165,0.086474635367507,0.0897223858319718,0.0819354342747982,0.0843458135883733,0.114561168973269,0.120974258713512,0.107309378284142,0.0901287437492615
POSCO홀딩스,0.0977260636564315,0.0915095735722015,0.0808755864484064,0.177006533472929,0.0983671754362618,0.115329861179157,0.130468334449926,0.100625746283274,0.108091125501413
삼성물산,0.0853942458935761,0.111865685118333,0.126534400408483,0.0923952086945205,0.158512221265962,0.110623239482004,0.105130527047902,0.106994747894859,0.10254972419436
현대모비스,0.0877518986570181,0.129622708263332,0.0842883526589294,0.13797923536467,0.115196254673917,0.111352117558915,0.0951110241633267,0.104126289698369,0.134572118961523
KB금융,0.0858260215094778,0.0877049954506749,0.0909953261446723,0.0836965339542731,0.0869979177938105,0.140236415602967,0.0963705370135063,0.20641166009774,0.121760592432879
신한지주,0.0870824859437651,0.0804529220121082,0.0847379895518558,0.0871174741308956,0.0858113624117736,0.21417830495478,0.0957877370645837,0.182409859515415,0.0824218644148224
SK,0.150936564025065,0.107801660760513,0.0888406328585005,0.115720728739114,0.102706095790114,0.123497096144299,0.102483185010212,0.102923284767699,0.105090751904483
SK이노베이션,0.103651843510451,0.121206953236514,0.0864366888264014,0.106569906613409,0.111428663571936,0.118338308325315,0.0920206945706797,0.116256401012806,0.144090540332489
포스코케미칼,0.08038257287161,0.0967658799611307,0.0778882207905357,0.217596522806554,0.0886835970789227,0.155369520225262,0.0878813060912254,0.102271198862126,0.0931611813126341
LG전자,0.0855194156242316,0.15975762811541,0.130599884820144,0.0978123612683608,0.104630649838247,0.108373379274178,0.0854025701701485,0.0986206028899898,0.129283507999291
삼성생명,0.0957979768847748,0.0843345395553521,0.0911369267878509,0.0851740758462534,0.150430825776057,0.110597607633866,0.104011966489657,0.184746180893823,0.093769900132367
LG,0.092962457676887,0.142141771204992,0.10853394402681,0.111957118391424,0.0982413468200338,0.131835946730537,0.093975842908737,0.104116813250864,0.116234758989715
케이티앤지,0.0847362704432364,0.0982643406043551,0.107586169225125,0.0906520302557526,0.107478019228523,0.14026222303928,0.0922719951365417,0.164412468418767,0.114336483648419
고려아연,0.0832041735518164,0.114114545447244,0.0759956485816496,0.120255452155782,0.097835665829732,0.200916234760473,0.0901931933806882,0.117231809151999,0.100253277140616
하나금융지주,0.08653757163464,0.081367069490734,0.0804200973696135,0.0819894443169951,0.0849645798730433,0.15723012794768,0.142728221082118,0.194379803560032,0.090383084725144
SK텔레콤,0.122005849715518,0.161418086977307,0.112414538941597,0.0882057381972563,0.0993332954679639,0.0950649057647928,0.0986459423110423,0.0992778497667839,0.12363379285774
한국전력공사,0.0933286324274396,0.116476701812974,0.0823767852128374,0.0956178179765953,0.100920536112269,0.107151103108606,0.158964941421502,0.139419935718707,0.10574354620907
S-Oil,0.0827676748550416,0.0967934323336666,0.0835856939020589,0.103212456673284,0.101589614457467,0.231614473806955,0.0924015430119191,0.100095088291945,0.107940022667662
삼성화재해상보험,0.106628673749512,0.0930272501262999,0.10334861032913,0.0904432823055992,0.115710780342865,0.119412957534155,0.105222888033018,0.164524206506994,0.101681351072427
LG생활건강,0.0847377808255321,0.104858140009302,0.156865246266504,0.0926117597702763,0.0960240778222804,0.132719012745268,0.118540662341142,0.106346412090926,0.10729690812877
한화솔루션,0.0834331711954768,0.122335319729844,0.0846203035667247,0.106672539538346,0.107069068355765,0.121192101820935,0.0937605456628609,0.17654541469415,0.104371535435898
현대중공업,0.0849343533494992,0.0987187859535634,0.0779948760250516,0.0951126997619646,0.104746554471392,0.0966985491155424,0.194625388763953,0.137862334980409,0.109306457578625
케이티,0.12273693806399,0.149468544519703,0.109143017182264,0.0868084211567872,0.0959777617335687,0.103490267854902,0.104345257933487,0.107740574298694,0.120289217256605
