클러스터,시장명,가게명,가게 종류,지역구,가게 주소,가게 위치(위도),가게 위치(경도),주자창 여부,주차장 주소,주차장 위치(위도),주차장 위치(경도),버스정류장,지하철,지금 몇 명 가는지,인스타 검색어,인스타 게시물 수,위도경도
3,보수동책방골목,보수동책방골목,서점,중구,부산 중구 보수동 1가,35.103356,129.026656,유,부산 중구 중구로75번길 25,35.103747,129.027613,부평동/보수동,자갈치역 3번 출구,0,보수동책방골목,55000,"(35.103356,129.026656)"
3,보수동책방골목,우리글방,서점/북카페,중구,부산광역시 중구 보수동 대청로 63,35.103215,129.026881,유,부산 중구 대청로 116번길 3,35.102394,129.033045,부평동/보수동,자갈치역 3번 출구,0,우리글방,1000+,"(35.103215,129.026881)"
3,보수동책방골목,책방골목사진관,사진관,중구,부산광역시 중구 보수동1가 136-1,35.103181,129.027187,유,부산 중구 중구로75번길 25,35.103747,129.027613,부평동/보수동,자갈치역 3번 출구,0,책방골목사진관,1000+,"(35.103181,129.027187)"
3,보수동책방골목,인앤빈 보수점,카페,중구,부산 중구 대청로 61-3,35.103362,129.026481,유,부산 중구 중구로75번길 25,35.103747,129.027613,부평동/보수동,자갈치역 3번 출구,0,인앤빈,1000+,"(35.103362,129.026481)"
3,보수동책방골목,옥생관,식당,중구,부산 중구 대청로 66,35.102816,129.027038,유,부산 중구 중구로33번길 32,35.101139,129.026185,보수동책방골목,자갈치역 3번 출구,0,옥생관,1000+,"(35.102816,129.027038)"
3,보수동책방골목,보수동책방골목문화관,문화관,중구,부산 중구 대청로 61-2,35.103204,129.026674,유,부산 중구 대청로 61-2,35.103204,129.026674,보수동책방골목,자갈치역 3번 출구,0,보수동책방골목문화관,100+,"(35.103204,129.026674)"
3,당감새시장,당감새지장,시장,부산진구,부산 부산진구 백암대로60번길 64,35.165067,129.042132,유,부산 부산진구 동평로 100번길 11,35.165286,129.040681,당감시장,부암역 6번 출구,0,당감시장,10000,"(35.165067,129.042132)"
3,당감새시장,칠자족발,식당,부산진구,부산 부산진구 백양대로60번길 49 1층,35.164477,129.042109,유,부산 부산진구 동평로 100번길 12,35.165286,129.040681,당감시장,부암역 6번 출구,0,칠자족발,500+,"(35.164477,129.042109)"
3,당감새시장,복돌네통닭,식당,부산진구,부산 부산진구 당감로16번길 42,35.163605,129.041868,유,부산 부산진구 동평로 100번길 13,35.165286,129.040681,당감시장,부암역 6번 출구,0,복돌네통닭,1000+,"(35.163605,129.041868)"
3,당감새시장,당감댁,식당,부산진구,부산 부산진구 당감서로 79-6 1층,35.167617,129.036525,무,NaN,NaN,NaN,부산진구생활문화센터,부암역 6번 출구,0,당감댁,500+,"(35.167617,129.036525)"
