,시장명,위도,경도
0,국제시장,35.10111535872395,129.0280793229141
1,부평깡통시장,35.10210738841212,129.02588007512136
2,자갈치시장,35.096603849416326,129.0305684228524
3,부산진시장,35.13669603815098,129.05892355771977
