,클러스터,시장명,가게명,가게 종류,지역구,가게 주소,가게 위치(위도),가게 위치(경도),주자창 여부,주차장 주소,주차장 위치(위도),주차장 위치(경도),버스정류장,지하철,지금 몇 명 가는지,인스타 검색어,인스타 게시물 수,위도경도,dist_현재위치,dist_추천식당,dist_추천장소,별점
13,0,부산진시장,영남식당,식당,동구,부산 동구 진시장로20번길 14,35.136408,129.058866,유,부산 동구 진시장로 13,35.137631,129.058025,부산진시장,범일역 1번 출구,20,영남식당,3123,"(35.136408, 129.058866)",4.229927928,4.600606547,4.674417905,4.3
14,0,부산진시장,부산진성,관광지,동구,부산 동구 자성로 99 자성대공원.조선통신사역사관,35.136408,129.058866,유,부산 동구 진시장로 13,35.137631,129.058025,부산진시장,범일역 2번 출구,10,부산진성,330,"(35.136408, 129.058866)",4.229927928,4.600606547,4.674417905,4.2
15,1,새영주시장,새영주시장,시장,중구,부산 중구 중동길 78,35.112602,129.036607,무,,,,영주동,부산역 1번 출구,15,새영주시장,78,"(35.112602, 129.036607)",1.113670126,1.289501268,1.342041225,4.1
16,1,새영주시장,영주횟집,식당,중구,부산 중구 초량중로6번길 5,35.11262,129.036544,무,,,,영주동,부산역 1번 출구,10,영주횟집,147,"(35.11262, 129.036544)",1.116104132,1.288896067,1.34008415,4.1
17,1,새영주시장,왕돼지집,식당,중구,부산 중구 초량중로6번길 8,35.112569,129.036484,무,,,,영주동,부산역 1번 출구,7,왕돼지집,209,"(35.112569, 129.036484)",1.110897555,1.281459644,1.332256452,4.1
18,1,새영주시장,아리랑카페,카페,중구,부산 중구 초량중로6번길 21,35.112569,129.036484,무,,,,영주동,부산역 1번 출구,5,아리랑카페,38,"(35.112569, 129.036484)",1.110897555,1.281459644,1.332256452,3.9
19,1,부산평화시장,부산평화시장,시장,부산진구,부산 부산진구 자유평화로 7 평화도매시장,35.141892,129.060756,유,부산 부산진구 자유평화로3번길 14-18 평화시장 주차타워,35.142039,129.061759,자유.평화시장,범일역 10번 출구,2,부산평화시장,1034,"(35.141892, 129.060756)",4.852212002,5.206057673,5.267551419,3.8
20,1,부산평화시장,부산국밥,식당,동구,부산 동구 자성로133번길 50,35.141081,129.062541,유,부산 부산진구 자유평화로3번길 14-18 평화시장 주차타워,35.142039,129.061759,자유.평화시장,범일역 10번 출구,10,부산국밥,18000,"(35.141081, 129.062541)",4.845322943,5.218271629,5.290222367,4.1
21,1,부산평화시장,원조할매낙지,식당,부산진구,부산 부산진구 골드테마길 10,35.142144,129.060136,유,부산 부산진구 자유평화로3번길 14-18 평화시장 주차타워,35.142039,129.061759,자유.평화시장,범일역 10번 출구,20,원조할매낙지,2519,"(35.142144, 129.060136)",4.853274683,5.200533354,5.258463727,4
22,2,아리랑 거리,아리랑거리,시장,중구,부산 중구 광복로35번길 11,35.100157,129.029385,유,부산 중구 중구로 22,35.099763,129.028098,자갈치역.비프광장,자갈치역 7번 출구,10,아리랑거리,3916,"(35.100157, 129.029385)",0.788284455,0.242453178,0.371481523,4
