,클러스터,시장명,가게명,가게 종류,지역구,가게 주소,가게 위치(위도),가게 위치(경도),주자창 여부,주차장 주소,주차장 위치(위도),주차장 위치(경도),버스정류장,지하철,지금 몇 명 가는지,인스타 검색어,인스타 게시물 수,위도경도,dist_현재위치,dist_추천식당,dist_추천장소
20,1,부산평화시장,부산국밥,식당,동구,부산 동구 자성로133번길 50,35.141081,129.062541,유,부산 부산진구 자유평화로3번길 14-18 평화시장 주차타워,35.142039,129.061759,자유.평화시장,범일역 10번 출구,0,부산국밥,18000,"(35.141081, 129.062541)",4.845322942676492,5.2182716286354776,5.290222366606713
21,1,부산평화시장,원조할매낙지,식당,부산진구,부산 부산진구 골드테마길 10,35.142144,129.060136,유,부산 부산진구 자유평화로3번길 14-18 평화시장 주차타워,35.142039,129.061759,자유.평화시장,범일역 10번 출구,0,원조할매낙지,2519,"(35.142144, 129.060136)",4.853274683168165,5.200533353842816,5.2584637265417795
22,2,아리랑 거리,아리랑거리,시장,중구,부산 중구 광복로35번길 11,35.100157,129.029385,유,부산 중구 중구로 22,35.099763,129.028098,자갈치역.비프광장,자갈치역 7번 출구,0,아리랑거리,3916,"(35.100157, 129.029385)",0.7882844547839305,0.2424531781685207,0.37148152250446875
23,2,아리랑 거리,힙컵,카페,중구,부산 중구 중구로30번길 12 1층,35.10047472,129.0289621,무,,,,자갈치역.비프광장,자갈치역 7번 출구,0,힙컵,503,"(35.10047472, 129.0289621)",0.8134549876604747,0.23385249700271338,0.32280120738287915
24,2,아리랑 거리,카마타케제면소 본점,식당,중구,부산 중구 비프광장로 31-1,35.08976,129.028635,유,부산 중구 비프광장로 30,35.098655,129.028497,자갈치역.비프광장,자갈치역 7번 출구,0,카마타케제면소 본점,8701,"(35.08976, 129.028635)",1.6417348845555377,1.3837606473859572,1.4886785801798337
25,2,아리랑 거리,18번완당집,식딩,중구,부산 중구 비프광장로 31,35.098948,129.028466,유,부산 중구 비프광장로 30,35.098655,129.028497,자갈치역.비프광장,자갈치역 7번 출구,0,18번완당집,4067,"(35.098948, 129.028466)",0.9184549171537445,0.40040782942015,0.47183183727497435
26,2,아리랑 거리,뉴리틀인디아,식당,중구,부산 중구 비프광장로 33-1,35.098973,129.028898,유,부산 중구 비프광장로 30,35.098655,129.028497,자갈치역.비프광장,자갈치역 7번 출구,0,뉴리틀인디아,217,"(35.098973, 129.028898)",0.8821302011892227,0.38043026982670636,0.4781232074281707
27,2,아리랑 거리,돌솥밥집,식당,중구,부산광역시 중구 광복로37번길 7-1,35.099986,129.029092,유,부산 중구 중구로 22,35.099763,129.028098,자갈치역.비프광장,자갈치역 7번 출구,0,돌솥밥집,1145,"(35.099986, 129.029092)",0.8199232406280654,0.2719002028879088,0.37732484726130056
28,2,서면시장,서면시장,시장,부산진구,부산광역시 부산진구 서면로 56,35.155755,129.058206,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,0,서면시장,13000,"(35.155755, 129.058206)",6.2014409713836915,6.473048745052388,6.485798424575138
29,2,서면시장,기장손칼국수,식당,부산진구,부산광역시 부산진구 서면로 56,35.155473,129.058299,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,0,기장손칼국수,8750,"(35.155473, 129.058299)",6.174155072486072,6.4474614995717365,6.461178924734938
30,2,서면시장,뚱보할매집,식당,부산진구,부산 부산진구 서면로 56,35.155418,129.058179,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,0,뚱보할매집,595,"(35.155418, 129.058179)",6.164997914012025,6.437572098929519,6.450939898962784
31,2,서면시장,풍성돼지국밥,식당,부산진구,부산 부산진구 서면로68번길 41,35.155164,129.058488,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,0,풍성돼지국밥,232,"(35.155164, 129.058488)",6.146768076187264,6.422620531660057,6.4377470781423
32,2,서면시장,서면개금밀면,식당,부산진구,부산 부산진구 서면로68번길39,35.155255,129.058565,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,0,서면개금밀면,974,"(35.155255, 129.058565)",6.158561010067822,6.434682341749089,6.449910114611601
33,2,서면시장,만만정,식당,부산진구,부산 부산진구 서면로 56,35.155255,129.058326,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,0,만만정,136,"(35.155255, 129.058326)",6.151838909219357,6.426120434586369,6.44041567300626
