,구별인덱스,시장명,유동인구,소재지,주 판매상품,개설년도,운영중인 점포(계 - 빈점포),용도지역, 매장면적(㎡) ,종사자 수(명),주차 면수,지역구_동구,지역구_부산진구,지역구_중구,주 판매상품_수산물,주 판매상품_건강식품,주 판매상품_잡화,주 판매상품_의류,주 판매상품_가구,주 판매상품_문구,주 판매상품_전기,주 판매상품_청과물,주 판매상품_생활용품,주 판매상품_농산물,주 판매상품_식품,주 판매상품_예술품,주 판매상품_기타,주 판매상품_꽃,주 판매상품_축산물,주 판매상품_귀금속
31,11,범일골목시장,603,범곡북로 일원,"['생활용품', '잡화']",1970,78,주거,2757,100,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
32,12,범일5동 매축지시장,NaN,성남이로 일원,"['식품', '잡화']",1960,5,주거,1835,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
33,13,수정4동골목시장,NaN,망양로689번길 2 일원,"['식품', '잡화']",1970,44,주거,2813,44,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1,부산평화시장,591.4166667,범천동 839-52,['의류'],1970,900,일반상업,6327,710,173,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2,서면시장,1281.833333,부전동 256-6,"['농산물', '수산물', '축산물']",1972,200,일반상업,2792,450,51,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36,3,당감시장,NaN,당감동 238-89,"['농산물', '수산물', '축산물']",1972,10,제2종일반주거,112,10,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,4,부전시장,990.3333333,부전동 573,"['농산물', '수산물', '축산물', '생활용품']",1975,398,일반상업,1631,488,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
38,5,수양시장,NaN,개금동 632-3,['기타'],1975,2,준주거,1354,2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,6,부전인삼시장,990.3333333,부전동 573-3,['건강식품'],1978,61,일반상업,1276,80,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7,개금큰시장,518.25,개금동 615-20,['수산물'],1978,28,준주거,450,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,9,성곡종합시장,217.9166667,초읍동271-6,"['청과물', '잡화']",1978,43,준주거,1291,75,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
42,10,초읍시장,335.1666667,초읍동 225,"['청과물', '잡화']",1980,58,준주거,696,58,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
43,11,서면종합시장,324.1666667,부전동 347-40,"['농산물', '수산물', '예술품']",1980,226,일반상업,15605,765,154,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
44,12,새당감시장,127.1666667,당감동 479-9,"['청과물', '잡화']",1981,15,준주거,535,15,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
45,13,서면중앙시장,485.25,전포동 608-1,"['기타', '예술품']",1981,262,일반상업,4545,140,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
46,14,부산전자종합시장,460.0833333,부전동 29,['전기'],1981,115,준주거,6156,150,120,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,15,서면지하도상가 서면몰,NaN,부전동 573-1,"['의류', '잡화']",1982,366,일반상업,4603,366,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,16,서면지하도상가 부전몰,NaN,부전동 573-1,"['의류', '잡화']",1985,338,일반상업,6099,450,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,17,가야벽산상가,NaN,가야동 669-9,"['청과물', '잡화']",1990,46,제2종일반주거,3417,78,30,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
50,18,양정시장,603.5,양정동 390,"['꽃', '의류', '수산물']",1971,73,일반상업,7445,133,66,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,19,국제상가,NaN,당감동 791,"['청과물', '잡화']",1995,90,제2종일반주거,3169,135,40,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
52,20,부전농수산물새벽시장,1485,부전동 347-1,['청과물'],1985,331,일반상업,10210,510,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,21,부전상가,5870.5,부전동 265-25,"['농산물', '수산물', '축산물']",1950,703,일반상업,16598,882,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
54,22,골드테마거리,4392.25,범천동 836-1,['귀금속'],1980,324,일반상업,8014,486,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,23,당감골목시장,1787.583333,당감동 238-89,"['청과물', '잡화']",1973,115,준주거,4852,115,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
56,24,개금골목시장,4149,개금동 173-5,"['청과물', '잡화']",1975,115,일반상업,7109,405,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
57,25,전포놀이터시장,359.8333333,전포동 197-6,"['청과물', '잡화']",1972,65,제3종일반주거,3041,75,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
58,26,당감새시장,1178.083333,당감동 292-127,"['청과물', '수산물']",2007,133,일반상업,6676,133,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,27,동평새시장,621.9166667,당감동 282-68,"['청과물', '의류']",2012,59,준주거,5153,62,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
60,28,연지시장,999.5,연지동 179-5,['청과물'],2012,83,준주거,4799,83,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,29,양정전통시장,3244.5,양정동 389-9,['청과물'],2013,96,준주거,6291,96,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,30,부전기장골목시장,858.1666667,부전동 341-70,"['수산물', '농산물']",2014,84,일반상업,3054,84,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,31,철뚝시장,540.3333333,범천동 839-36 일원,"['청과물', '수산물']",1968,74,일반상업,2547,74,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
