,클러스터,시장명,가게명,가게 종류,지역구,가게 주소,가게 위치(위도),가게 위치(경도),주자창 여부,주차장 주소,주차장 위치(위도),주차장 위치(경도),버스정류장,지하철,지금 몇 명 가는지,인스타 검색어,인스타 게시물 수,위도경도,dist_현재위치,dist_추천식당,dist_추천장소,별점
27,2,아리랑 거리,돌솥밥집,식당,중구,부산광역시 중구 광복로37번길 7-1,35.099986,129.029092,유,부산 중구 중구로 22,35.099763,129.028098,자갈치역.비프광장,자갈치역 7번 출구,5,돌솥밥집,1145,"(35.099986, 129.029092)",0.819923241,0.271900203,0.377324847,4.1
28,2,서면시장,서면시장,시장,부산진구,부산광역시 부산진구 서면로 56,35.155623,129.058132,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,11,서면시장,13000,"(35.155623, 129.058132)",6.185413955,6.456910565,6.469654348,4.2
29,2,서면시장,기장손칼국수,식당,부산진구,부산광역시 부산진구 서면로 56,35.155473,129.058299,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,10,기장손칼국수,8750,"(35.155473, 129.058299)",6.174155072,6.4474615,6.461178925,4.1
30,2,서면시장,뚱보할매집,식당,부산진구,부산 부산진구 서면로 56,35.155418,129.058179,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,6,뚱보할매집,595,"(35.155418, 129.058179)",6.164997914,6.437572099,6.450939899,4.1
31,2,서면시장,풍성돼지국밥,식당,부산진구,부산 부산진구 서면로68번길 41,35.155164,129.058488,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,2,풍성돼지국밥,232,"(35.155164, 129.058488)",6.146768076,6.422620532,6.437747078,3.9
32,2,서면시장,서면개금밀면,식당,부산진구,부산 부산진구 서면로68번길39,35.155255,129.058565,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,3,서면개금밀면,974,"(35.155255, 129.058565)",6.15856101,6.434682342,6.449910115,3.8
33,2,서면시장,만만정,식당,부산진구,부산 부산진구 서면로 56,35.155255,129.058326,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,5,만만정,136,"(35.155255, 129.058326)",6.151838909,6.426120435,6.440415673,3.5
34,3,보수동책방골목,보수동책방골목,서점,중구,부산 중구 보수동 1가,35.103356,129.026656,유,부산 중구 중구로75번길 25,35.103747,129.027613,부평동/보수동,자갈치역 3번 출구,6,보수동책방골목,55000,"(35.103356, 129.026656)",0.991111156,0.384295394,0.080205837,4.2
35,3,보수동책방골목,우리글방,서점/북카페,중구,부산광역시 중구 보수동 대청로 63,35.103215,129.026881,유,부산 중구 대청로 116번길 3,35.102394,129.033045,부평동/보수동,자갈치역 3번 출구,4,우리글방,1364,"(35.103215, 129.026881)",0.96950934,0.359602613,0.056238476,3.9
36,3,보수동책방골목,책방골목사진관,사진관,중구,부산광역시 중구 보수동1가 136-1,35.103181,129.027187,유,부산 중구 중구로75번길 25,35.103747,129.027613,부평동/보수동,자갈치역 3번 출구,6,책방골목사진관,3317,"(35.103181, 129.027187)",0.941479853,0.332221753,0.02826074,3.8
37,3,보수동책방골목,인앤빈 보수점,카페,중구,부산 중구 대청로 61-3,35.103362,129.026481,유,부산 중구 중구로75번길 25,35.103747,129.027613,부평동/보수동,자갈치역 3번 출구,2,인앤빈,4060,"(35.103362, 129.026481)",1.007031523,0.399404203,0.095548908,4
38,3,보수동책방골목,옥생관,식당,중구,부산 중구 대청로 66,35.102816,129.027038,유,부산 중구 중구로33번길 32,35.101139,129.026185,보수동책방골목,자갈치역 3번 출구,0,옥생관,2110,"(35.102816, 129.027038)",0.953187936,0.332944478,0.052666647,4.1
39,3,보수동책방골목,보수동책방골목문화관,문화관,중구,부산 중구 대청로 61-2,35.103204,129.026674,유,부산 중구 대청로 61-2,35.103204,129.026674,보수동책방골목,자갈치역 3번 출구,2,보수동책방골목문화관,112,"(35.103204, 129.026674)",0.988214505,0.376937193,0.074618348,4.1
40,3,당감새시장,당감새지장,시장,부산진구,부산 부산진구 백암대로60번길 64,35.165067,129.042132,유,부산 부산진구 동평로 100번길 11,35.165286,129.040681,당감시장,부암역 6번 출구,9,당감시장,10000,"(35.165067, 129.042132)",6.957157649,7.079717155,7.01630715,4.1
41,3,당감새시장,칠자족발,식당,부산진구,부산 부산진구 백양대로60번길 49 1층,35.164477,129.042109,유,부산 부산진구 동평로 100번길 12,35.165286,129.040681,당감시장,부암역 6번 출구,6,칠자족발,510,"(35.164477, 129.042109)",6.8915463,7.014531499,6.951506397,4
42,3,당감새시장,복돌네통닭,식당,부산진구,부산 부산진구 당감로16번길 42,35.163605,129.041868,유,부산 부산진구 동평로 100번길 13,35.165286,129.040681,당감시장,부암역 6번 출구,0,복돌네통닭,1268,"(35.163605, 129.041868)",6.793452513,6.915388614,6.852144592,3.7
43,3,당감새시장,당감댁,식당,부산진구,부산 부산진구 당감서로 79-6 1층,35.167617,129.036525,무,,,,부산진구생활문화센터,부암역 6번 출구,6,당감댁,848,"(35.167617, 129.036525)",7.228572155,7.305007499,7.219240063,3.6
